gene_id	Heart_WT_1	Heart_WT_2	Heart_WT_3	Heart_WT_4	Heart_KO_1	Heart_KO_2	Heart_KO_3	Heart_KO_4
"1415670_at"	1214.447	1182.464	1206.226	1196.03	1174.618	1184.458	985.5503	1214.54
"1415671_at"	3490.098	2882.784	2650.033	2934.861	2723.976	2823.26	2721.884	2790.834
"1415672_at"	4510.369	4292.057	4071.057	4275.276	4127.941	4045.99	4553.736	4358.635
"1415673_at"	598.8334	385.0178	458.4872	514.2919	584.0671	544.3807	569.1154	323.8668
"1415674_a_at"	1400.325	1328.295	1416.923	1388.418	1459.956	1462.964	1237.244	1797.906
"1415675_at"	497.7774	441.8907	463.8198	471.8565	404.6885	357.1436	442.7815	519.2141
"1415676_a_at"	7927.897	6705.278	7242.706	6859.569	8368.434	8531.329	8547.247	7839.285
"1415677_at"	781.6489	513.3997	481.5474	646.0389	695.0452	768.4124	574.2578	521.876
"1415678_at"	5476.512	4205.516	5146.731	4337.733	5979.429	5316.26	5421.747	5278.323
"1415679_at"	2931.39	2882.161	2844.512	2858.873	2905.793	3177.122	4169.55	3241.546
"1415680_at"	729.4298	987.1832	745.6653	1067.081	758.993	855.6041	997.1088	764.8315
"1415681_at"	4410.468	3542.661	3787.921	3763.739	4179.7	4319.792	4327.085	3833.402
"1415682_at"	562.543	614.3754	586.6057	550.7516	564.8128	606.1984	563.8106	576.7225
"1415683_at"	6221.643	6022.4	5828.204	5187.92	6838.35	5249.133	5408.646	4545.108
"1415684_at"	693.3104	854.0178	679.2054	700.0525	916.4714	842.7778	969.3259	842.8038
"1415685_at"	3344.573	3788.58	3329.172	3738.073	3754.329	3068.26	3717.5	3484.588
"1415686_at"	1641.346	1933.869	1585.177	1601.718	2052.374	1768.22	2026.317	1630.397
"1415687_a_at"	15237.87	13900.81	14971.52	14027.28	18240.79	17822.29	18013.24	17650.21
"1415688_at"	7548.54	6869.384	7470.82	6732.21	7051.328	7758.004	7562.359	7840.7
"1415689_s_at"	842.0441	846.0745	1139.687	1022.098	619.4027	945.03	934.8295	920.9797
"1415690_at"	5516.319	4423.256	4406.44	4166.954	4609.709	4299.326	4535.159	4423.026
"1415691_at"	1975.818	2039.119	2331.864	2038.685	2147.312	2155.634	2415.67	2391.939
"1415692_s_at"	11393.56	11330.1	10445.41	11202.58	10004.65	9635.937	9779.789	11405.33
"1415693_at"	1378.529	1541.75	1701.197	1583.588	1541.938	1695.701	2112.911	1758.046
"1415694_at"	260.3143	238.2974	241.0675	268.9056	195.1998	241.3652	219.15	206.8848
"1415695_at"	5458.293	5465.803	5006.338	5315.648	5867.17	5785.291	5986.345	5470.213
"1415696_at"	4984.94	4310.042	5375.645	4062.378	4596.139	4572.317	4792.645	4542.258
"1415697_at"	702.3585	700.0325	665.4753	754.5145	571.4624	781.9424	680.669	842.0099
"1415698_at"	1149.005	1325.78	1229.182	894.4625	1296.766	1008.019	1025.75	1022.664
"1415699_a_at"	2382.242	2130.904	1847.198	1934.849	1981.059	2101.731	2141.941	2090.795
"1415700_a_at"	6713.617	6404.646	6049.547	5969.502	6269.655	7940.979	6509.682	6337.516
"1415701_x_at"	30036.26	32693.94	25512.69	25886.08	30711.46	25908.74	30774.05	28916.93
"1415702_a_at"	6474.466	4301.421	6296.625	5579.098	5918.577	6664.84	6574.219	6223.618
"1415703_at"	1503.051	1609.35	1906.328	1918.9	1875.191	2153.802	1980.394	1732.871
"1415704_a_at"	5057.577	3874.297	4889.823	4600.131	4757.247	3939.907	4263.604	4458.628
"1415705_at"	2209.512	1780.024	1844.76	1998.448	2194.331	1889.224	2000.832	2042.371
"1415706_at"	4556.319	3916.374	3865.32	3727.919	3963.077	3990.819	3910.824	3644.557
"1415707_at"	761.132	816.053	904.5387	806.3431	803.7189	772.3383	811.3204	754.4717
"1415708_at"	1557.666	1974.089	1688.45	1980.784	1404.503	1855.103	1555.33	1618.603
"1415709_s_at"	701.8478	645.9805	1152.262	706.4446	639.8431	696.702	670.4007	566.8771
"1415710_at"	1123.439	961.9059	1090.195	854.4216	1418.025	1457.958	1137.629	1008.031
"1415711_at"	5393.215	5734.73	5248.188	4644.041	5216.356	4708.967	4962.6	4650.787
"1415712_at"	1452.614	1484.867	1589.556	1447.483	1734.033	1519.8	1567.38	1397.708
"1415713_a_at"	1562.328	1320.727	1537.837	1327.494	1972.796	1749.907	2062.109	1586.151
"1415714_a_at"	6998.745	7215.702	6791.421	5699.756	7417.799	7096.785	7833.509	6915.721
"1415715_at"	693.5317	726.1483	678.8082	699.4169	689.0872	766.7658	923.2197	1029.059
"1415716_a_at"	25751.53	26922.58	22576.27	21350.51	28271.71	23155.84	27930.12	22705.63
"1415717_at"	460.1844	384.1843	447.9013	434.336	452.1887	535.3566	451.3911	499.7041
"1415718_at"	3021.828	2488.18	2881.042	2288.493	3012.704	2955.82	2772.801	2737.547
"1415719_s_at"	1856.828	1928.834	2147.521	1804.389	2339.75	2415.902	2742.278	2092.544
"1415720_s_at"	1035.061	718.7744	1021.45	862.8317	1008.162	826.5234	690.0921	773.436
"1415721_a_at"	1017.5	728.3727	1071.319	798.2234	1042.327	1113.564	749.3878	1006.804
"1415722_a_at"	1486.605	1532.984	1243.675	1372.869	1500.276	1257.859	1440.309	1182.705
"1415723_at"	5189.254	5170.644	4556.894	4486.499	5948.28	4373.594	4986.572	4448.039
"1415724_a_at"	4622.735	4695.731	4317.77	4840.618	4267.444	3813.556	4244.243	4508.112
"1415725_at"	911.7276	863.769	934.4496	862.0279	998.3386	957.4329	894.167	825.9191
"1415726_at"	1724.447	1918.026	2160.285	2222.792	2342.33	2443.585	2406.544	2481.292
"1415727_at"	4298.508	3370.447	3837.014	3543.544	4058.355	4555.569	4803.21	4155.182
"1415728_at"	548.3347	493.443	666.0485	729.0138	486.3424	568.0842	575.5641	500.5805
